類別,編號,類別,編號,類別,編號,類別,編號,類別,編號,類別,編號,類別,編號,類別,編號,類別,編號,類別,編號,類別,編號,類別,編號,類別,編號,類別,編號,類別,編號,類別,編號,類別,編號,類別,編號,類別,編號,類別,編號,類別,編號,類別,編號
女性衣著,62,美妝保健,67,嬰幼童與母親,100,居家生活,73,女生配件,2580,女鞋,64,女生包包/精品,65,美食、伴手禮,66,寵物,1657,服務、票卷,74,其他類別,68,男生衣著,63,手機平板與周邊,70,3C與筆電,69,家庭影音,71,男生包包與配件,1837,男鞋,1859,戶外與運動用品,1611,汽機車零件百貨,10076,娛樂、收藏,75,遊戲王,72,書籍及文創商品,10000067
子類別,編號,子類別,編號,子類別,編號,子類別,編號,子類別,編號,子類別,編號,子類別,編號,子類別,編號,子類別,編號,子類別,編號,子類別,編號,子類別,編號,子類別,編號,子類別,編號,子類別,編號,子類別,編號,子類別,編號,子類別,編號,子類別,編號,子類別,編號,子類別,編號,子類別,編號
T恤,2164,開架流行清潔保養,15401,嬰幼兒裝與配件,2196,餐廚,1601,襪子,2590,涼鞋、拖鞋,1829,後背包,1803,休閒零食,2209,外出用品,1663,禮券,1631,客製商品,1671,T恤,1519,Apple空機,2683,筆記型電腦,2156,生活家電,2627,錢包、皮件,1841,涼鞋、拖鞋,1867,登山、露營,2637,汽車與零組件,10077,公仔、模型,1589,主機遊戲,14591,教科參考書,10000068
小可愛-背心,2165,開架流行彩妝,15730,嬰兒鞋、襪,2697,收納,1605,帽子,2582,休閒鞋,17157,側背包-肩背包,1805,飲料、沖泡品,1653,寵物零食,2698,餐券,1629,成人專區,1673,長褲,1527,Android空機,2609,電腦零組件,1563,電視機,2625,後背包,1845,休閒鞋,1861,戶外休閒用品,1613,汽車百貨,10078,明星偶像商品,1591,掌上型電玩,8086,雜誌期刊,10000069
上衣類,1473,專櫃清潔保養,15614,女童童裝,2663,傢俱,1597,髮飾,2586,包鞋,20989,手提-托特包,1801,進口零食,15926,貓飼料,2672,活動門票,1633,派對小物,1669,外套,1533,平板電腦,1573,鍵盤滑鼠,11445,美容-健康家電,2628,手錶,1839,靴子,1869,運動用品,1615,機車與零組件,10080,LEGO與積木,13982,桌遊,2633,文學小說,10000070
帽T-大學T,2560,專櫃彩妝,15701,女童配件,2664,寢具,1599,項鍊,2581,靴子,1833,皮夾,1799,熟食、小吃,1649,狗飼料,2671,旅遊票券,1627,點數貼紙,2678,運動服飾,2171,耳機喇叭,2684,電腦周邊配件,11457,影音設備,2623,側背-斜背包,1843,鞋材用品,7889,健身運動器材,1621,機車百貨,10082,玩偶、娃娃,2204,手機遊戲,14639,旅遊相關書籍,10000071
襯衫,1475,醫美清潔保養,15668,男童童裝,2661,五金修繕,2184,手環,2583,鞋材用品,17156,名牌精品包,1807,米、麵食,15920,其他寵物食品,2673,儲值、充值卡,2647,其他,287,短褲,1529,行動電源,1575,儲存裝置,1569,廚房家電,2624,帽子,1855,其他,1860,腳踏車、自行車,2638,機車騎士用品,10084,收藏、紀念品,1587,電腦遊戲,14617,語言學習書籍,10000072
針織-毛衣,2561,美髮護理,1549,男童配件,2662,浴室,1603,圍巾、手套,2587,其他,299,其他,300,蛋糕、甜點,1647,寵物用品,2205,服務、課程,2648,,,帽T、大學T,2573,iPhone保護貼,2612,相機,1567,音響、喇叭,2626,飾品,2175,皮鞋,21095,游泳,15648,導航、行車紀錄器,10086,CD-DVD,2187,遊戲周邊商品,14627,漫畫,10000073
洋裝,1485,身體清潔、保養,1547,孕婦裝及用品,1639,日用品,2182,耳環,2584,,,帆布包,18843,烘焙食材、南北雜貨,8411,寵物玩具,2674,其他,293,,,男性內著,1535,iPhone保護殼,2611,相機周邊配件,2178,大型家電,11894,襪子,2578,,,行李箱,2155,車身標誌、貼紙,13881,卡、票,2688,其他,288,其他書籍,10000074
短褲,1481,香水、香氛,2659,兒童玩具,1643,水壺、杯子,2686,眼鏡,2588,,,斜背包,19527,生鮮食品,1651,寵物服飾,1661,,,,,Polo衫,1523,iPhone充電傳輸,1577,單眼-專業相機,11496,其他,289,眼鏡,1853,,,旅行相關用品,2188,汽機車美容用品,13878,玉、水晶、石,2687,虛擬點數,13987,輕小說,10000075
